
Greek Lentil Soup (Fakes),https://www.allrecipes.com/recipe/137650/greek-lentil-soup-fakes/,soups-stews-and-chili,357.4,40.3,15.5,15.5
Instant Pot® Ground Beef Stroganoff,https://www.allrecipes.com/recipe/278031/instant-pot-ground-beef-stroganoff/,pasta-and-noodles,493.8,56.9,22.3,20.2
Shrimp Fettuccine Alfredo,https://www.allrecipes.com/recipe/23979/shrimp-fettuccine-alfredo/,world-cuisine,440.2,57.7,29.2,10.6
Lemon Chicken Orzo Soup,https://www.allrecipes.com/recipe/233968/lemon-chicken-orzo-soup/,soups-stews-and-chili,167.3,21.7,12.1,4.1
Crab Rangoon,https://www.allrecipes.com/recipe/200657/crab-rangoon/,appetizers-and-snacks,261.2,29.2,11.2,10.8
Homemade Manti (Traditional Turkish Dumplings),https://www.allrecipes.com/recipe/154920/homemade-manti-traditional-turkish-dumplings/,main-dish,560.1,64.4,23.2,23.2
Double Tomato Bruschetta,https://www.allrecipes.com/recipe/20669/double-tomato-bruschetta/,appetizers-and-snacks,215.4,24.8,9.6,8.9
Norwegian Pancakes - Pannekaken,https://www.allrecipes.com/recipe/83723/norwegian-pancakes-pannekaken/,breakfast-and-brunch,144.8,19.6,7.3,3.9
Calico Bean Casserole,https://www.allrecipes.com/recipe/24224/calico-bean-casserole/,side-dish,617.1,69.2,27.6,26.1
Fried Rice with Ham,https://www.allrecipes.com/recipe/143444/fried-rice-with-ham/,main-dish,400.3,46.4,16.6,16.4
Home-Style Vegetable Beef Soup,https://www.allrecipes.com/recipe/26427/home-style-vegetable-beef-soup/,soups-stews-and-chili,268.4,39.2,13.3,6.9
Kay's Spaghetti and Lasagna Sauce,https://www.allrecipes.com/recipe/23602/kays-spaghetti-and-lasagna-sauce/,side-dish,205.6,22.0,13.2,8.4
Breaded Toasted Ravioli,https://www.allrecipes.com/recipe/148794/breaded-toasted-ravioli/,pasta-and-noodles,431.8,60.7,20.4,12.0
Irish Chicken and Dumplings,https://www.allrecipes.com/recipe/11843/irish-chicken-and-dumplings/,soups-stews-and-chili,94.4,13.8,7.8,2.7
Hobo Beans,https://www.allrecipes.com/recipe/242080/hobo-beans/,side-dish,470.9,67.7,24.8,12.6
Spinach Tortellini Soup,https://www.allrecipes.com/recipe/16332/spinach-tortellini-soup/,soups-stews-and-chili,223.6,33.2,11.5,6.0
Shrimp Linguine Alfredo,https://www.allrecipes.com/recipe/12780/shrimp-linguine-alfredo/,main-dish,590.3,70.3,27.5,23.7
Healthier Ultimate Twice-Baked Potatoes,https://www.allrecipes.com/recipe/222137/healthier-ultimate-twice-baked-potatoes/,side-dish,299.5,35.8,12.3,12.3
Instant Pot® Au Gratin Potatoes,https://www.allrecipes.com/recipe/270705/instant-pot-au-gratin-potatoes/,side-dish,264.7,30.3,12.0,11.0
Singapore Noodles,https://www.allrecipes.com/recipe/26294/singapore-noodles/,meat-and-poultry,350.7,46.2,24.2,8.2
Crawfish and Corn Soup,https://www.allrecipes.com/recipe/69634/crawfish-and-corn-soup/,soups-stews-and-chili,298.2,36.2,13.2,12.9
Tangy Catalina Pasta Salad,https://www.allrecipes.com/recipe/11818/tangy-catalina-pasta-salad/,salad,331.4,46.7,16.5,8.3
Rice Cooker Crawfish Tails,https://www.allrecipes.com/recipe/53929/rice-cooker-crawfish-tails/,seafood,315.7,43.8,16.0,8.3
Scallop and Shrimp Chowder,https://www.allrecipes.com/recipe/239842/scallop-and-shrimp-chowder/,soups-stews-and-chili,331.5,37.9,14.8,14.4
Fish Chowder I,https://www.allrecipes.com/recipe/13371/fish-chowder-i/,soups-stews-and-chili,346.7,41.4,14.2,14.0
Tuna and Noodle Salad Light,https://www.allrecipes.com/recipe/216655/tuna-and-noodle-salad-light/,salad,375.6,43.8,15.8,15.6
Ginger Shrimp with Fried Rice,https://www.allrecipes.com/recipe/24505/ginger-shrimp-with-fried-rice/,main-dish,307.4,41.7,15.7,8.2
Wontons for Wonton Noodle Soup,https://www.allrecipes.com/recipe/64834/wontons-for-wonton-noodle-soup/,soups-stews-and-chili,24.8,3.2,1.6,0.6
Tropical Shrimp Scampi,https://www.allrecipes.com/recipe/131198/tropical-shrimp-scampi/,main-dish,520.1,61.1,23.4,20.9
Honey-Ginger Shrimp and Vegetables,https://www.allrecipes.com/recipe/141264/honey-ginger-shrimp-and-vegetables/,world-cuisine,369.0,48.3,26.0,9.3
Shelli's Lemon Pepper Catfish,https://www.allrecipes.com/recipe/222030/shellis-lemon-pepper-catfish/,seafood,299.3,35.5,13.3,12.5
Chipotle Tilapia Tacos with Mango-Cilantro Salsa,https://www.allrecipes.com/recipe/161462/chipotle-tilapia-tacos-with-mango-cilantro-salsa/,world-cuisine,755.8,94.7,35.3,32.2
Tuna Italiano,https://www.allrecipes.com/recipe/19411/tuna-italiano/,world-cuisine,580.3,69.6,25.3,23.4
St. Barth Seafood Salad,https://www.allrecipes.com/recipe/99107/st-barth-seafood-salad/,salad,425.2,56.6,28.6,11.3
Simple Marinara Sauce,https://www.allrecipes.com/recipe/26293/simple-marinara-sauce/,side-dish,135.4,18.0,6.0,6.0
Ke's Cajun (Dirty) Rice,https://www.allrecipes.com/recipe/219644/kes-cajun-dirty-rice/,side-dish,141.0,18.1,9.4,3.5
French Toast Souffle,https://www.allrecipes.com/recipe/20935/french-toast-souffle/,breakfast-and-brunch,241.3,28.4,9.8,9.8
Red Lentil Soup with Lemon-Mint Yogurt,https://www.allrecipes.com/recipe/278763/red-lentil-soup-with-lemon-mint-yogurt/,soups-stews-and-chili,293.9,41.2,15.8,8.2
Veggie-Packed Chicken Fried Rice,https://www.allrecipes.com/recipe/246449/veggie-packed-chicken-fried-rice/,meat-and-poultry,359.5,41.8,16.3,14.4
Green Chutney,https://www.allrecipes.com/recipe/14122/green-chutney/,side-dish,25.2,3.2,1.2,1.2
Vietnamese Beef Pho,https://www.allrecipes.com/recipe/14681/vietnamese-beef-pho/,soups-stews-and-chili,527.9,73.1,27.1,13.6
Homemade Macaroni and Cheese,https://www.allrecipes.com/recipe/273332/homemade-macaroni-and-cheese/,main-dish,540.9,61.1,22.8,22.4
Tangy Ginger Lime Salad Dressing,https://www.allrecipes.com/recipe/24599/tangy-ginger-lime-salad-dressing/,side-dish,25.7,3.0,1.2,1.1
Broccoli and Stilton Soup,https://www.allrecipes.com/recipe/24414/broccoli-and-stilton-soup/,soups-stews-and-chili,182.8,21.7,8.2,8.1
Fabulous Fargozas,https://www.allrecipes.com/recipe/214062/fabulous-fargozas/,bread,185.4,21.6,7.6,7.6
Cilantro Chicken and Rice,https://www.allrecipes.com/recipe/89243/cilantro-chicken-and-rice/,world-cuisine,439.8,57.8,30.8,10.5
