
Fabulous Wet Burritos,https://www.allrecipes.com/recipe/70404/fabulous-wet-burritos/,world-cuisine,915.8,92.0,43.9,42.0
Beef and Bean Chimichangas,https://www.allrecipes.com/recipe/36766/beef-and-bean-chimichangas/,world-cuisine,821.3,83.6,40.1,36.0
Fish Tacos with Honey-Cumin Cilantro Slaw and Chipotle Mayo,https://www.allrecipes.com/recipe/149052/fish-tacos-with-honey-cumin-cilantro-slaw-and-chipotle-mayo/,world-cuisine,984.3,117.5,42.2,44.4
Salmon with Tomatoes,https://www.allrecipes.com/recipe/56901/salmon-with-tomatoes/,main-dish,955.5,85.0,41.9,48.7
Clam Sauce with Linguine,https://www.allrecipes.com/recipe/47125/clam-sauce-with-linguine/,seafood,795.4,92.7,43.2,29.3
Quick Asian Lettuce Wraps,https://www.allrecipes.com/recipe/34721/quick-asian-lettuce-wraps/,appetizers-and-snacks,836.2,95.5,45.8,31.0
Slow Cooker Broccoli Beef,https://www.allrecipes.com/recipe/238393/slow-cooker-broccoli-beef/,world-cuisine,813.8,121.4,46.4,16.0
Classic Fish and Chips,https://www.allrecipes.com/recipe/16580/classic-fish-and-chips/,seafood,782.3,91.9,44.6,26.2
Eggplant Rollatini,https://www.allrecipes.com/recipe/84774/eggplant-rollatini/,world-cuisine,901.8,104.3,41.4,35.9
Irish Boiled Dinner (Corned Beef),https://www.allrecipes.com/recipe/30918/irish-boiled-dinner-corned-beef/,world-cuisine,918.2,106.6,47.0,35.7
Quick and Easy Shrimp Scampi,https://www.allrecipes.com/recipe/12814/quick-and-easy-shrimp-scampi/,main-dish,892.0,108.0,42.5,31.6
A Pad Thai Worth Making,https://www.allrecipes.com/recipe/109334/a-pad-thai-worth-making/,world-cuisine,742.1,83.1,41.4,27.8
Chef John's Spaghetti with Red Clam Sauce,https://www.allrecipes.com/recipe/254576/chef-johns-spaghetti-with-red-clam-sauce/,seafood,852.0,116.9,44.3,16.5
Chef John's Salmon in Parchment,https://www.allrecipes.com/recipe/223154/chef-johns-salmon-in-parchment/,world-cuisine,873.0,114.7,62.7,18.5
